지역,대학,계열,전형유형,전형명,모집단위명,2018,2019,2020,2021,2022,경쟁률 추이
강원,강릉원주대,인문,1.학생부종합,농어촌학생전형(외),사회복지학과,6,9,13,5,,
강원,강릉원주대,인문,1.학생부종합,농어촌학생전형(외),인문대학,2.71,2.71,4.86,3.29,,
강원,강릉원주대,인문,1.학생부종합,저소득전형(외),사회과학대학,3.22,2.89,3.22,2,,
강원,강릉원주대,인문,1.학생부종합,저소득전형(외),인문대학,4.67,3.5,2,1.5,,
강원,강릉원주대,인문,1.학생부종합,지역인재전형,경영학과,5.2,4.5,3.5,5.5,4.4,
강원,강릉원주대,인문,1.학생부종합,지역인재전형,경제학과,3.75,3,3.33,1.67,3.57,
강원,강릉원주대,인문,1.학생부종합,지역인재전형,관광경영학과,7.43,5.14,6.6,4,,
강원,강릉원주대,인문,1.학생부종합,지역인재전형,국어국문학과,4.17,5.8,3.2,2.17,2.2,
강원,강릉원주대,인문,1.학생부종합,지역인재전형,국제통상학과,3.25,2.4,3.5,2.38,2.13,
강원,강릉원주대,인문,1.학생부종합,지역인재전형,다문화학과,3.71,5.17,7.25,5,,
강원,강릉원주대,인문,1.학생부종합,지역인재전형,도시계획부동산학과,3.5,3.57,3.29,2.29,,
강원,강릉원주대,인문,1.학생부종합,지역인재전형,독어독문학과,,,,1,,
강원,강릉원주대,인문,1.학생부종합,지역인재전형,무역학과,3.5,4.2,2.5,2.25,2.25,
강원,강릉원주대,인문,1.학생부종합,지역인재전형,법학과,4.4,3.6,2.6,2.29,3,
강원,강릉원주대,인문,1.학생부종합,지역인재전형,사학과,3.5,6.33,4.5,5,,
강원,강릉원주대,인문,1.학생부종합,지역인재전형,사회복지학과,11.83,19,19,8.5,6.6,
강원,강릉원주대,인문,1.학생부종합,지역인재전형,영어영문학과,2.71,3.14,4,3,2,
강원,강릉원주대,인문,1.학생부종합,지역인재전형,유아교육과,5.89,8.18,7.73,5.91,4.7,
강원,강릉원주대,인문,1.학생부종합,지역인재전형,일본학과,4.67,5.4,5.33,2.5,2.75,
강원,강릉원주대,인문,1.학생부종합,지역인재전형,자치행정학과,5.8,3.63,5.33,3.75,,
강원,강릉원주대,인문,1.학생부종합,지역인재전형,중어중문학과,2.5,4.33,5,4,,
강원,강릉원주대,인문,1.학생부종합,지역인재전형,철학과,3.4,2.4,3.33,1.33,1.5,
강원,강릉원주대,인문,1.학생부종합,지역인재전형,회계학과,3,3.43,3,1.5,1.86,
강원,강릉원주대,인문,1.학생부종합,특성화고교졸업자전형(외),사회과학대학,13,9.5,10.5,4.33,,
강원,강릉원주대,인문,1.학생부종합,해람인재전형,경영학과,,,4.67,5,4.64,
강원,강릉원주대,인문,1.학생부종합,해람인재전형,경제학과,3.5,5,6.5,2,2.6,
강원,강릉원주대,인문,1.학생부종합,해람인재전형,관광경영학과,12,6,6,4,5.17,
강원,강릉원주대,인문,1.학생부종합,해람인재전형,국어국문학과,5.2,4.33,6,2.4,2,
강원,강릉원주대,인문,1.학생부종합,해람인재전형,다문화학과,4,4.83,7,5.57,3,
강원,강릉원주대,인문,1.학생부종합,해람인재전형,도시계획부동산학과,4,2.67,3.83,3.83,2,
강원,강릉원주대,인문,1.학생부종합,해람인재전형,독어독문학과,3,3.67,4,3,,
강원,강릉원주대,인문,1.학생부종합,해람인재전형,무역학과,4.5,3.17,3.8,2.2,2.4,
강원,강릉원주대,인문,1.학생부종합,해람인재전형,법학과,9.25,3.5,5,2.14,2.86,
강원,강릉원주대,인문,1.학생부종합,해람인재전형,사학과,14.5,8.5,7.5,4.33,6.33,
강원,강릉원주대,인문,1.학생부종합,해람인재전형,사회복지학과,14.75,18.33,19.25,7,7.25,
강원,강릉원주대,인문,1.학생부종합,해람인재전형,영어영문학과,4.78,2.71,5.75,4.2,2,
강원,강릉원주대,인문,1.학생부종합,해람인재전형,유아교육과,12.5,11.5,16.25,7.25,6,
강원,강릉원주대,인문,1.학생부종합,해람인재전형,일본학과,12.5,7.5,7.2,3.57,2.2,
강원,강릉원주대,인문,1.학생부종합,해람인재전형,자치행정학과,5,5,5,4,2.5,
강원,강릉원주대,인문,1.학생부종합,해람인재전형,중어중문학과,3.33,4,4.75,3.33,2,
강원,강릉원주대,인문,1.학생부종합,해람인재전형,철학과,3,3,6.5,1,1.8,
강원,강릉원주대,인문,1.학생부종합,해람인재전형,회계학과,4.43,3.4,2.25,2.5,1.91,
강원,강릉원주대,인문,2.학생부교과,기회균형전형,경제학과,,,,3,,
강원,강릉원주대,인문,2.학생부교과,기회균형전형,관광경영학과,,2,3.5,4.5,,
강원,강릉원주대,인문,2.학생부교과,기회균형전형,다문화학과,3,3,6,1,,
강원,강릉원주대,인문,2.학생부교과,기회균형전형,독어독문학과,,,,1,,
강원,강릉원주대,인문,2.학생부교과,기회균형전형,무역학과,1.5,2,1,2,,
강원,강릉원주대,인문,2.학생부교과,기회균형전형,법학과,,,,4,,
강원,강릉원주대,인문,2.학생부교과,기회균형전형,사학과,4,2,1,2,,
강원,강릉원주대,인문,2.학생부교과,기회균형전형,사회복지학과,6.5,5,12,6,,
강원,강릉원주대,인문,2.학생부교과,기회균형전형,영어영문학과,,,,2,,
강원,강릉원주대,인문,2.학생부교과,기회균형전형,유아교육과,,7,9,7.5,,
강원,강릉원주대,인문,2.학생부교과,기회균형전형,일본학과,,,,2,,
강원,강릉원주대,인문,2.학생부교과,기회균형전형,자치행정학과,,1,3,2,,
강원,강릉원주대,인문,2.학생부교과,기회균형전형,중어중문학과,,,,2,,
강원,강릉원주대,인문,2.학생부교과,기회균형전형,철학과,2,1,1,1,,
강원,강릉원주대,인문,2.학생부교과,기회균형전형,회계학과,,,1,1,,
강원,강릉원주대,인문,2.학생부교과,지역교과전형,경영학과,,,4.33,13,,
강원,강릉원주대,인문,2.학생부교과,지역교과전형,경제학과,,,4,3,,
강원,강릉원주대,인문,2.학생부교과,지역교과전형,관광경영학과,,,3.5,20.25,8.33,
강원,강릉원주대,인문,2.학생부교과,지역교과전형,국어국문학과,,,3.71,3.57,,
강원,강릉원주대,인문,2.학생부교과,지역교과전형,국제통상학과,,,6.14,3.4,,
강원,강릉원주대,인문,2.학생부교과,지역교과전형,다문화학과,,,9.2,4,3.25,
강원,강릉원주대,인문,2.학생부교과,지역교과전형,도시계획부동산학과,,,3,5.67,6,
강원,강릉원주대,인문,2.학생부교과,지역교과전형,독어독문학과,,,2.75,5,,
강원,강릉원주대,인문,2.학생부교과,지역교과전형,무역학과,,,3.33,3,,
강원,강릉원주대,인문,2.학생부교과,지역교과전형,법학과,,,3.29,3.75,,
강원,강릉원주대,인문,2.학생부교과,지역교과전형,사학과,,,3,3,5.33,
강원,강릉원주대,인문,2.학생부교과,지역교과전형,사회복지학과,,,11,7.8,,
강원,강릉원주대,인문,2.학생부교과,지역교과전형,영어영문학과,,,3,7.75,,
강원,강릉원주대,인문,2.학생부교과,지역교과전형,유아교육과,,,5.8,6,4.22,
강원,강릉원주대,인문,2.학생부교과,지역교과전형,일본학과,,,8,4,,
강원,강릉원주대,인문,2.학생부교과,지역교과전형,자치행정학과,,,6,3.75,6.5,
강원,강릉원주대,인문,2.학생부교과,지역교과전형,중어중문학과,,,3.67,7.33,3.33,
강원,강릉원주대,인문,2.학생부교과,지역교과전형,철학과,,,3.5,4,,
강원,강릉원주대,인문,2.학생부교과,지역교과전형,회계학과,,,6,4,,
강원,강릉원주대,인문,2.학생부교과,해람교과전형,경영학과,7.42,5.21,6.42,5.6,9.57,
강원,강릉원주대,인문,2.학생부교과,해람교과전형,경제학과,5.29,5.35,3.58,3.64,8.13,
강원,강릉원주대,인문,2.학생부교과,해람교과전형,관광경영학과,8,5.32,4.19,3.59,6.35,
강원,강릉원주대,인문,2.학생부교과,해람교과전형,국어국문학과,6.1,5.86,5.14,3,5.6,
강원,강릉원주대,인문,2.학생부교과,해람교과전형,국제통상학과,4.22,3.73,7.13,3.64,4.3,
강원,강릉원주대,인문,2.학생부교과,해람교과전형,다문화학과,4.56,9.18,4.88,4.33,4.44,
강원,강릉원주대,인문,2.학생부교과,해람교과전형,도시계획부동산학과,4.17,4.67,3.58,6.42,5.82,
강원,강릉원주대,인문,2.학생부교과,해람교과전형,독어독문학과,4.5,12.33,3.5,10.25,,
강원,강릉원주대,인문,2.학생부교과,해람교과전형,무역학과,8,8.6,3.46,6.25,4.58,
강원,강릉원주대,인문,2.학생부교과,해람교과전형,법학과,9.56,4.38,4.14,3.57,6.14,
강원,강릉원주대,인문,2.학생부교과,해람교과전형,사학과,8.4,7.2,7.4,2.89,7,
강원,강릉원주대,인문,2.학생부교과,해람교과전형,사회복지학과,14.75,10.92,10.67,7.2,6,
강원,강릉원주대,인문,2.학생부교과,해람교과전형,영어영문학과,4.5,8,3.55,7.42,4.6,
강원,강릉원주대,인문,2.학생부교과,해람교과전형,유아교육과,5.12,6.04,4.29,3.44,6.78,
강원,강릉원주대,인문,2.학생부교과,해람교과전형,일본학과,9.17,5.2,5.8,9.25,8,
강원,강릉원주대,인문,2.학생부교과,해람교과전형,자치행정학과,7,3.5,5.42,5.13,6.08,
강원,강릉원주대,인문,2.학생부교과,해람교과전형,중어중문학과,4.11,6.22,3.89,3.4,4.33,
강원,강릉원주대,인문,2.학생부교과,해람교과전형,철학과,11.67,5.56,4.89,3.88,4,
강원,강릉원주대,인문,2.학생부교과,해람교과전형,회계학과,10.7,3.67,9.4,6.5,4.57,
강원,강릉원주대,자연,1.학생부종합,농어촌학생전형(외),공과대학,3.51,2.5,5.67,2,,
강원,강릉원주대,자연,1.학생부종합,농어촌학생전형(외),과학기술대학,4.44,3.33,5.78,2.29,,
