지역,대학,계열,전형유형,세부전형명,모집단위명,입결등급 기준,2019,2020,2021,2022,수시등급 트렌드,평균등급,2019등급,2020등급,2021등급,2022등급,평균
강원,강원대,자연,2.학생부교과,지역인재전형,전자공학과,최초합격자평균,2.8,3.3,3.15,3.43,,3.17,2등급,3등급,3등급,3등급,3등급
강원,강원대,자연,2.학생부교과,지역인재전형,지역건설공학과,최초합격자평균,4.2,4.5,4.31,4.75,,4.44,4등급,4등급,4등급,4등급,4등급
강원,강원대,자연,2.학생부교과,지역인재전형,지질지구물리학부,최초합격자평균,4,4.5,4.4,4.61,,4.38,4등급,4등급,4등급,4등급,4등급
강원,강원대,자연,2.학생부교과,지역인재전형,컴퓨터공학과,최초합격자평균,3,2.9,2.64,3.64,,3.05,3등급,2등급,2등급,3등급,3등급
강원,강원대,자연,2.학생부교과,지역인재전형,화공생물공학부,최초합격자평균,2.3,2.1,2.22,3.47,,2.52,2등급,2등급,2등급,3등급,2등급
강원,강원대,자연,2.학생부교과,지역인재전형,화학생화학부,최초합격자평균,2.8,2.7,3.19,3.82,,3.13,2등급,2등급,3등급,3등급,3등급
강원,강원대,자연,2.학생부교과,지역인재전형,환경융합학부,최초합격자평균,4.8,4.4,3.94,4.7,,4.46,4등급,4등급,3등급,4등급,4등급
강원,강원대,자연,1.학생부종합,미래인재전형,간호학과(자연),1단계합격자평균,3,2.6,2.47,2.62,,2.67,3등급,2등급,2등급,2등급,2등급
강원,강원대,자연,1.학생부종합,미래인재전형,건축토목환경공학부,1단계합격자평균,3.5,3.6,3.82,3.89,,3.7,3등급,3등급,3등급,3등급,3등급
강원,강원대,자연,1.학생부종합,미래인재전형,건축학과(5년제),1단계합격자평균,3.4,3.9,3.74,3.53,,3.64,3등급,3등급,3등급,3등급,3등급
강원,강원대,자연,1.학생부종합,미래인재전형,과학교육학부,1단계합격자평균,2.4,2.6,2.81,2.61,,2.61,2등급,2등급,2등급,2등급,2등급
강원,강원대,자연,1.학생부종합,미래인재전형,기계의용메카트로닉스재료공학부,1단계합격자평균,3.5,3.5,3.61,3.71,,3.58,3등급,3등급,3등급,3등급,3등급
강원,강원대,자연,1.학생부종합,미래인재전형,동물산업융합학과,1단계합격자평균,4.3,4.4,4.28,4.97,,4.49,4등급,4등급,4등급,4등급,4등급
강원,강원대,자연,1.학생부종합,미래인재전형,동물응용과학과,1단계합격자평균,4.6,4.3,4.48,4.44,,4.46,4등급,4등급,4등급,4등급,4등급
강원,강원대,자연,1.학생부종합,미래인재전형,동물자원과학과,1단계합격자평균,3.6,3.9,4.19,3.35,,3.76,3등급,3등급,4등급,3등급,3등급
강원,강원대,자연,1.학생부종합,미래인재전형,목재종이과학부,1단계합격자평균,5,4.5,4.89,5.34,,4.93,5등급,4등급,4등급,5등급,4등급
강원,강원대,자연,1.학생부종합,미래인재전형,물리학과,1단계합격자평균,3.7,3.7,4.24,4.25,,3.97,3등급,3등급,4등급,4등급,3등급
강원,강원대,자연,1.학생부종합,미래인재전형,바이오산업공학부,1단계합격자평균,3.9,3.7,3.64,3.94,,3.8,3등급,3등급,3등급,3등급,3등급
강원,강원대,자연,1.학생부종합,미래인재전형,분자생명과학과,1단계합격자평균,3.6,3.6,3.89,3.92,,3.75,3등급,3등급,3등급,3등급,3등급
강원,강원대,자연,1.학생부종합,미래인재전형,산림과학부,1단계합격자평균,3.8,3.6,3.66,3.98,,3.76,3등급,3등급,3등급,3등급,3등급
강원,강원대,자연,1.학생부종합,미래인재전형,생명건강공학과,1단계합격자평균,3.7,3.6,3.71,4.03,,3.76,3등급,3등급,3등급,4등급,3등급
강원,강원대,자연,1.학생부종합,미래인재전형,생명과학과,1단계합격자평균,3.3,3.7,3.34,3.52,,3.47,3등급,3등급,3등급,3등급,3등급
강원,강원대,자연,1.학생부종합,미래인재전형,생물자원과학부,1단계합격자평균,3.8,4,4.05,4.09,,3.99,3등급,4등급,4등급,4등급,3등급
강원,강원대,자연,1.학생부종합,미래인재전형,생태조경디자인학과,1단계합격자평균,3.6,3.8,3.84,4.09,,3.83,3등급,3등급,3등급,4등급,3등급
강원,강원대,자연,1.학생부종합,미래인재전형,수학과,1단계합격자평균,3.1,3.6,3.78,3.68,,3.54,3등급,3등급,3등급,3등급,3등급
강원,강원대,자연,1.학생부종합,미래인재전형,수학교육과,1단계합격자평균,2.3,2.3,2.69,2.78,,2.52,2등급,2등급,2등급,2등급,2등급
강원,강원대,자연,1.학생부종합,미래인재전형,에너지자원산업공학부,1단계합격자평균,3.9,3.9,4.23,4.16,,4.05,3등급,3등급,4등급,4등급,4등급
강원,강원대,자연,1.학생부종합,미래인재전형,원예농업자원경제학부,1단계합격자평균,4.2,4,4.12,4.25,,4.14,4등급,4등급,4등급,4등급,4등급
강원,강원대,자연,1.학생부종합,미래인재전형,의생명융합학부,1단계합격자평균,3.5,3.3,3.4,3.43,,3.41,3등급,3등급,3등급,3등급,3등급
강원,강원대,자연,1.학생부종합,미래인재전형,전기전자공학과,1단계합격자평균,3.4,3.4,3.46,3.68,,3.49,3등급,3등급,3등급,3등급,3등급
강원,강원대,자연,1.학생부종합,미래인재전형,전자공학과,1단계합격자평균,3.6,3.8,3.85,3.9,,3.79,3등급,3등급,3등급,3등급,3등급
강원,강원대,자연,1.학생부종합,미래인재전형,지역건설공학과,1단계합격자평균,4.4,4.4,4.66,4.58,,4.51,4등급,4등급,4등급,4등급,4등급
강원,강원대,자연,1.학생부종합,미래인재전형,지질지구물리학부,1단계합격자평균,4.1,4.2,4.15,4.27,,4.18,4등급,4등급,4등급,4등급,4등급
강원,강원대,자연,1.학생부종합,미래인재전형,컴퓨터공학과,1단계합격자평균,3.6,3.6,3.37,3.63,,3.55,3등급,3등급,3등급,3등급,3등급
강원,강원대,자연,1.학생부종합,미래인재전형,화공생물공학부,1단계합격자평균,3,3,3.1,3.36,,3.12,3등급,3등급,3등급,3등급,3등급
강원,강원대,자연,1.학생부종합,미래인재전형,화학생화학부,1단계합격자평균,3.3,3.3,3.41,3.86,,3.47,3등급,3등급,3등급,3등급,3등급
강원,강원대,자연,1.학생부종합,미래인재전형,환경융합학부,1단계합격자평균,4,3.9,3.92,4.28,,4.03,4등급,3등급,3등급,4등급,4등급
강원,강원대,자연,1.학생부종합,소프트웨어인재전형,컴퓨터공학과,1단계합격자평균,,4.1,4.17,4.04,,4.1,,4등급,4등급,4등급,4등급
강원,춘천교대,통합,1.학생부종합,강원교육인재전형,초등교육과,1단계합격자평균,2.04,1.87,2.35,2.53,,2.2,2등급,1등급,2등급,2등급,2등급
강원,춘천교대,통합,1.학생부종합,교직적인성인재전형,초등교육과,1단계합격자평균,1.9,1.54,1.65,2.22,,1.83,1등급,1등급,1등급,2등급,1등급
경기,가톨릭대,인문,2.학생부교과,지역균형전형,경영학과,최종등록자평균,2.51,2.4,3.23,2.98,,2.78,2등급,2등급,3등급,2등급,2등급
경기,가톨릭대,인문,2.학생부교과,지역균형전형,경제학과,최종등록자평균,3.04,2.5,3.36,3.2,,3.03,3등급,2등급,3등급,3등급,3등급
경기,가톨릭대,인문,2.학생부교과,지역균형전형,국사학과,최종등록자평균,,2.8,2.63,3.48,,2.97,,2등급,2등급,3등급,2등급
경기,가톨릭대,인문,2.학생부교과,지역균형전형,국어국문학과,최종등록자평균,,2.6,2.93,3.08,,2.87,,2등급,2등급,3등급,2등급
경기,가톨릭대,인문,2.학생부교과,지역균형전형,국제학부,최종등록자평균,2.45,2.9,2.84,3.01,,2.8,2등급,2등급,2등급,3등급,2등급
경기,가톨릭대,인문,2.학생부교과,지역균형전형,법학과,최종등록자평균,2.72,2.5,2.97,2.76,,2.74,2등급,2등급,2등급,2등급,2등급
경기,가톨릭대,인문,2.학생부교과,지역균형전형,사회복지학과,최종등록자평균,2.76,2.4,3.55,3.02,,2.93,2등급,2등급,3등급,3등급,2등급
경기,가톨릭대,인문,2.학생부교과,지역균형전형,사회학과,최종등록자평균,2.6,2.2,3.91,2.89,,2.9,2등급,2등급,3등급,2등급,2등급
경기,가톨릭대,인문,2.학생부교과,지역균형전형,심리학과,최종등록자평균,2.14,1.8,2.48,2.15,,2.14,2등급,1등급,2등급,2등급,2등급
